date,code,entry,exit,stop,target,pnl_pct,R,exit_reason,hit_stop,hit_target,entered,gate_on,preset,theme_cap,gate_lookback_N,gate_universe,lookback_days
2025-08-11,000249,91291.50982963266,90008.40034175054,88552.76453474368,96769.00041941063,-0.014055080152323512,-0.46850267174411636,EOD,False,False,True,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000329,62179.75507149135,,60314.36241934661,65910.54037578084,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000032,52232.81657904161,,50665.83208167036,55366.78557378411,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000270,80852.63151865087,,78427.05257309135,85703.78940976993,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000192,103525.02996854938,,100419.2790694929,109736.53176666235,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000269,81954.46351965932,79495.82961406953,79495.82961406953,86871.73133083888,-0.030000000000000058,-1.0,STOP,True,False,True,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000017,78278.59568462108,,75930.23781408244,82975.31142569834,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000140,72467.8788106934,,70293.8424463726,76815.951539335,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000271,55479.01080542647,,53814.640481263676,58807.75145375206,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-11,000079,65120.68179656395,65724.18287492952,63167.06134266703,69027.92270435778,0.00926742567362705,0.30891418912090174,EOD,False,False,True,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-12,000283,61882.28587525561,65595.22302777095,60025.81729899794,65595.22302777095,0.059999999999999935,1.999999999999996,TARGET,False,True,True,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-12,000219,90864.24696386528,,88138.31955494932,96316.1017816972,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-12,000140,71078.62449615804,,68946.2657612733,75343.34196592752,,,NO_ENTRY,False,False,False,True,DEFENSIVE,1,5,TOP10_BASED,120
2025-08-12,000079,66458.93376908178,64465.16575600932,64465.16575600932,70446.46979522669,-0.030000000000000023,-1.0,STOP,True,False,True,True,DEFENSIVE,1,5,TOP10_BASED,120
